Signal Id,SignalGrowth,Trades,ProfitTrades,LossTrades,BestTrades,WorstTrades,GrossProfit,GrossLoss,SharpeRatio,RecoveryFactor,ProfitFactor,ExpectedPayoff,MonthlyGrowth,AlgoTrading
1856649,95.46,238,97.0,141.0,64.79,-275.99,1 006.12,-831.99,0.11,0.51,1.21,0.73,"
-41.11
",0
1926720,21.77,614,360.0,254.0,103.16,-66.78,2 211.78,-1 200.05,0.18,3.83,1.84,1.65,"
22.33
",0
1876436,54.77,78,78.0,0.0,56.87,0.00,1 659.68,-16.87,1.83,1845.85,98.38,21.28,"
16.91
",0
1615688,104.01,1 512,845.0,667.0,40 010.00,-38 770.00,2 503 437.97,-2 099 814.19,0.06,5.45,1.19,266.95,"
7.33
",1
1901223,22.27,687,512.0,175.0,17.44,-15.98,1 155.63,-642.89,0.21,4.40,1.80,0.75,"
8.09
",100
1840710,572.32,309,265.0,44.0,9.48,-15.32,308.08,-90.13,0.38,8.53,3.42,0.71,"
69.41
",0
1930567,5.77,51,32.0,19.0,460.15,-107.01,1 159.28,-581.75,0.15,1.99,1.99,11.32,"
5.77
",0
1854447,10.13,28,23.0,5.0,53.90,-9.84,432.61,-37.74,0.87,31.74,11.46,14.10,"
2.62
",100
1887921,66.87,2 194,1529.0,665.0,394.48,-935.55,11 247.52,-6 571.68,0.05,4.93,1.71,2.13,"
37.10
",99
1583755,-0.99,354,287.0,67.0,2.36,-6.87,153.37,-155.36,-0.00,-0.06,0.99,-0.01,"
-6.26
",100
1922680,39.12,57,45.0,12.0,561.43,-60.75,1 399.07,-223.75,0.28,6.71,6.25,20.62,"
39.12
",100
1933020,17.12,1 766,1029.0,737.0,2.97,-4.35,622.49,-455.88,0.14,10.55,1.37,0.09,"
17.12
",100
1924678,46.69,58,50.0,8.0,16.66,-24.67,104.15,-29.99,0.34,2.99,3.47,1.28,"
45.36
",0
1487160,49.53,217,211.0,6.0,9 237.00,-2 788.00,143 208.00,-10 579.00,0.77,25.52,13.54,611.19,"
4.62
",0
1926069,56.35,41,36.0,5.0,5.68,-30.11,101.72,-73.99,0.20,0.63,1.37,0.68,"
-12.02
",95
1921719,3.19,79,44.0,35.0,43.23,-21.16,332.00,-108.23,0.33,4.17,3.07,2.83,"
2.89
",68
1864349,471.90,186,108.0,78.0,140.95,-82.91,1 307.03,-878.70,0.13,2.32,1.49,2.30,"
11.89
",0
1911656,29.52,28,28.0,0.0,1 508.96,0.00,10 031.60,0.00,1.16,86.88,n/a,358.27,"
24.38
",0
1933528,20.63,260,184.0,76.0,27.00,-33.54,361.29,-267.63,0.08,2.79,1.35,0.36,"
20.63
",100
1762590,283.40,741,496.0,245.0,415.85,-304.24,5 333.30,-3 186.70,0.11,4.70,1.67,2.90,"
11.31
",46
1807391,12.43,423,306.0,117.0,27.66,-87.41,1 372.67,-1 291.31,0.05,0.35,1.06,0.19,"
1.96
",100
1222374,109.71,27 878,21175.0,6703.0,9 346.50,-6 073.38,286 036.48,-224 210.16,0.01,1.39,1.28,2.22,"
1.41
",99
1663408,93.39,12 266,10084.0,2182.0,2 224.79,-1 879.32,117 525.83,-73 107.30,0.04,12.36,1.61,3.62,"
4.55
",99
1787381,100.93,186,161.0,25.0,63.00,-24.83,1 078.37,-214.24,0.41,11.37,5.03,4.65,"
12.73
",10
1696414,25.62,3 627,2477.0,1150.0,30.09,-70.32,11 630.01,-6 199.40,0.12,3.44,1.88,1.50,"
7.36
",96
1782511,80.74,8 574,6715.0,1859.0,83.41,-69.61,7 886.85,-3 272.89,0.12,14.14,2.41,0.54,"
10.22
",86
1923718,11.33,69,52.0,17.0,44.28,-6.31,375.91,-35.97,0.54,52.87,10.45,4.93,"
11.33
",94
1911844,49.65,257,211.0,46.0,8.52,-11.41,808.70,-166.69,0.62,17.75,4.85,2.50,"
48.93
",100
1927882,-4.61,184,158.0,26.0,6.75,-56.20,423.39,-432.27,0.00,-0.06,0.98,-0.05,"
-4.61
",100
1824999,258.76,523,475.0,48.0,1 238.32,-940.05,11 564.82,-6 791.99,0.12,2.67,1.70,9.13,"
13.92
",99
1932042,20.50,39,33.0,6.0,41.70,-75.30,368.87,-163.88,0.29,2.72,2.25,5.26,"
20.50
",69
1779567,52.01,264,194.0,70.0,144 459.07,-62 539.20,1 424 881.97,-324 606.43,0.27,8.65,4.39,4 167.71,"
5.40
",83
964981,461.27,2 251,1764.0,487.0,153.40,-68.01,7 986.49,-4 326.11,0.11,13.84,1.85,1.63,"
8.24
",99
1729786,364.04,657,476.0,181.0,846.89,-1 478.02,12 601.77,-5 296.22,0.16,2.03,2.38,11.12,"
4.62
",98
1670059,30.44,1 131,1104.0,27.0,942.63,-1 511.99,29 393.09,-12 546.24,0.24,1.46,2.34,14.90,"
5.25
",43
1856053,55.61,31,26.0,5.0,3.71,-2.71,43.53,-11.26,0.67,7.09,3.87,1.04,"
5.24
",0
1932989,8.21,63,41.0,22.0,62.64,-27.67,410.30,-293.72,0.13,0.54,1.40,1.85,"
8.21
",90
1915282,30.22,174,126.0,48.0,3.16,-4.34,48.20,-33.09,0.13,1.42,1.46,0.09,"
-5.07
",85
1918323,6.77,31,26.0,5.0,396.93,-200.76,1 875.18,-520.71,0.38,6.75,3.60,43.69,"
6.66
",96
1721515,23.13,298,285.0,13.0,102.10,-930.75,2 594.82,-1 988.76,0.06,0.59,1.30,2.03,"
10.08
",0
1900311,272.71,140,116.0,24.0,5.00,-5.01,335.39,-62.68,0.76,11.35,5.35,1.95,"
105.83
",0
1387996,785.04,1 280,1022.0,258.0,272.22,-285.07,6 183.82,-3 573.98,0.17,8.39,1.73,2.04,"
2.30
",99
1843702,13.08,368,277.0,91.0,8 780.55,-6 262.22,51 163.19,-23 925.74,0.11,2.83,2.14,74.01,"
2.29
",0
1751753,8.77,34,34.0,0.0,1 601.00,0.00,44 499.00,-163.00,5.31,2111.24,273.00,1 308.79,"
1.34
",100
1833919,25.74,173,122.0,51.0,3.16,-4.34,46.72,-33.85,0.11,1.21,1.38,0.07,"
-5.52
",83
1392089,231.86,1 637,1174.0,463.0,194.91,-251.32,6 205.65,-5 073.98,0.10,1.07,1.22,0.69,"
-36.63
",99
1943599,-15.79,66,44.0,22.0,4.63,-58.15,53.44,-145.56,-0.16,-0.75,0.37,-1.40,"
-15.79
",87
1938442,2.57,42,28.0,14.0,30.57,-18.55,163.86,-96.76,0.19,2.38,1.69,1.60,"
2.57
",95
1926596,4.70,18,14.0,4.0,54.99,-26.83,253.49,-109.90,0.32,3.40,2.31,7.98,"
1.47
",88
1913748,222.06,8 075,5784.0,2291.0,2 672.00,-3 479.04,193 704.53,-79 214.66,0.08,10.68,2.45,14.18,"
16.52
",98
1937392,18.85,111,57.0,54.0,360.81,-372.90,3 338.18,-2 961.18,0.06,0.45,1.13,3.40,"
18.85
",99
1895081,13.00,644,480.0,164.0,1 642.99,-394.11,43 792.60,-17 796.05,0.21,18.04,2.46,40.37,"
7.33
",100
1735912,129.71,3 366,2513.0,853.0,13 975.69,-5 763.78,307 192.41,-123 373.96,0.17,13.94,2.49,54.61,"
15.65
",97
1923056,1.56,19,12.0,7.0,163.33,-93.96,431.60,-276.05,0.19,1.59,1.56,8.19,"
1.56
",100
1941010,45.31,607,489.0,118.0,277.60,-45.49,1 706.97,-710.12,0.11,5.87,2.40,1.64,"
45.31
",98
1846733,10.39,1 150,849.0,301.0,5 432.12,-1 319.21,173 359.24,-71 584.36,0.20,23.49,2.42,88.50,"
3.83
",99
1933653,3.72,186,171.0,15.0,18.89,-21.39,258.40,-72.43,0.30,8.69,3.57,1.00,"
3.72
",100
1836732,9.32,517,391.0,126.0,1 168.47,-961.07,22 963.45,-14 117.48,0.14,6.03,1.63,17.11,"
1.62
",93
1923799,8.28,48,38.0,10.0,35.16,-10.68,125.35,-42.51,0.24,2.48,2.95,1.73,"
8.28
",100
1892357,361.58,1 017,706.0,311.0,353.69,-52.52,2 651.41,-1 118.33,0.10,5.24,2.37,1.51,"
11.93
",95
1911379,132.27,109,97.0,12.0,70.09,-41.85,1 624.88,-216.86,0.70,33.64,7.49,12.92,"
31.96
",0
1928096,4.24,196,160.0,36.0,10.98,-5.21,140.78,-55.93,0.26,9.74,2.52,0.43,"
4.24
",98
1938593,2.33,39,27.0,12.0,208.58,-122.49,977.09,-511.68,0.23,2.51,1.91,11.93,"
2.33
",100
1930330,15.46,28,24.0,4.0,1.68,-2.50,14.88,-3.45,0.54,3.98,4.31,0.41,"
15.46
",0
1902551,7.87,86,77.0,9.0,5 831.00,-27 672.34,84 823.48,-63 318.65,0.21,0.55,1.34,250.06,"
6.19
",56
1934495,-2.34,112,62.0,50.0,5.16,-5.63,70.99,-81.04,-0.05,-0.31,0.88,-0.09,"
-2.34
",0
1923257,10.55,2 500,2493.0,7.0,41.00,-46.32,563.78,-158.27,0.08,8.75,3.56,0.16,"
10.55
",99
1736557,389.29,1 716,1334.0,382.0,148.75,-231.67,5 954.22,-5 144.12,0.09,0.81,1.16,0.47,"
-35.87
",99
828039,56.81,1 623,1513.0,110.0,13 170.00,-26 460.00,489 526.55,-176 643.85,0.16,9.81,2.77,192.78,"
1.49
",0
1938869,8.19,484,394.0,90.0,19.87,-27.63,632.72,-386.94,0.15,6.55,1.64,0.51,"
8.19
",97
1449820,-100.00,720,520.0,200.0,244.02,-178.60,10 260.41,-6 535.80,0.21,5.07,1.57,5.17,"
-100.00
",69
1538827,740.03,3 262,2451.0,811.0,1 538.36,-544.08,27 259.17,-14 245.75,0.10,7.65,1.91,3.99,"
10.77
",99
1875801,-17.95,273,206.0,67.0,923.92,-1 736.61,16 504.41,-12 919.00,0.16,0.35,1.28,13.13,"
-33.60
",0
1881000,3.94,36,35.0,1.0,35.51,-0.04,291.47,-3.61,1.16,654.23,80.74,8.00,"
1.92
",0
1593203,751.46,2 337,1671.0,666.0,844.44,-474.98,10 957.76,-4 670.16,0.16,3.19,2.35,2.69,"
3.55
",90
1449033,1 213.01,177,145.0,32.0,36.87,-70.46,1 536.66,-345.79,0.41,12.60,4.44,6.73,"
19.86
",0
1669747,308.84,647,462.0,185.0,275.77,-1 848.55,4 481.02,-3 176.22,0.07,0.70,1.41,2.02,"
23.07
",94
748852,696.26,2 282,2118.0,164.0,481.70,-352.49,13 527.67,-6 301.82,0.13,15.59,2.15,3.17,"
12.30
",100
1933472,0.66,26,19.0,7.0,9.34,-4.99,27.57,-11.73,0.28,2.85,2.35,0.61,"
0.66
",100
1560045,31.40,173,94.0,79.0,18.96,-26.03,512.74,-478.86,0.06,0.35,1.07,0.20,"
25.16
",65
1941858,26.50,164,124.0,40.0,46.32,-4.45,317.40,-52.43,0.38,8.40,6.05,1.62,"
26.50
",85
1915794,21.27,44,44.0,0.0,78.92,0.00,1 040.20,0.00,1.23,0.00,n/a,23.64,"
18.71
",4
1934383,4.86,41,29.0,12.0,38.50,-14.10,309.05,-66.24,0.52,8.73,4.67,5.92,"
4.86
",100
1567370,783.86,12 488,9028.0,3460.0,171.99,-104.88,8 847.71,-5 943.47,0.05,4.54,1.49,0.23,"
54.27
",99
1924359,26.34,286,264.0,22.0,60.30,-50.80,3 960.26,-286.00,0.87,26.95,13.85,12.85,"
26.34
",0
1782787,1.53,141,126.0,15.0,20.20,-120.34,920.58,-874.65,0.04,0.26,1.05,0.33,"
0.90
",100
1392156,457.11,1 331,941.0,390.0,142.44,-196.55,4 257.32,-3 862.10,0.03,0.54,1.10,0.30,"
-1.38
",97
1831749,447.96,210,143.0,67.0,844.11,-111.74,2 739.86,-1 178.61,0.12,4.50,2.32,7.43,"
61.08
",76
1906625,1.83,840,518.0,322.0,162.72,-375.05,5 734.73,-5 464.59,0.01,0.14,1.05,0.32,"
-6.23
",98
1925054,11.85,25,20.0,5.0,14 911.00,-4 431.00,134 366.00,-11 264.00,0.95,27.78,11.93,4 924.08,"
11.85
",96
1934235,7.24,224,142.0,82.0,407.98,-95.37,1 623.69,-899.96,0.10,1.58,1.80,3.23,"
7.24
",100
1800286,112.68,1 200,734.0,466.0,253.49,-666.59,8 044.87,-7 992.97,0.00,0.03,1.01,0.04,"
28.78
",95
1193307,7.66,5 506,4138.0,1368.0,77.17,-261.72,15 602.10,-9 786.34,0.11,7.18,1.59,1.06,"
-4.52
",99
951901,1 083.00,3 222,2734.0,488.0,373.11,-575.13,25 949.84,-17 122.72,0.08,3.32,1.52,2.74,"
7.41
",0
1619232,445.44,2 357,1712.0,645.0,305.79,-78.55,7 960.99,-4 802.05,0.08,7.56,1.66,1.34,"
7.78
",100
1690734,497.32,589,428.0,161.0,1 470.24,-533.28,18 374.21,-9 693.85,0.14,5.30,1.90,14.74,"
14.72
",100
1833611,37.08,254,206.0,48.0,18.07,-60.32,265.92,-181.03,0.13,1.14,1.47,0.33,"
14.38
",92
1724178,2 935.63,4 819,4657.0,162.0,67.43,-349.71,5 936.21,-2 408.62,0.20,5.05,2.46,0.73,"
-19.85
",0
1768046,331.26,1 066,752.0,314.0,416.53,-51.38,4 988.90,-1 857.11,0.18,20.29,2.69,2.94,"
52.32
",97
1851948,354.91,231,202.0,29.0,146.40,-411.95,6 393.95,-4 813.02,0.07,2.34,1.33,6.84,"
60.66
",0
1779237,62.27,57,56.0,1.0,8.93,-0.37,213.43,-2.73,1.69,468.22,78.18,3.70,"
3.17
",0
1746643,11.63,325,260.0,65.0,23.07,-31.56,573.24,-542.05,0.04,0.14,1.06,0.10,"
15.61
",100
1929195,-1.15,31,9.0,22.0,21.06,-9.29,87.13,-105.10,-0.06,-0.53,0.83,-0.58,"
-1.15
",96
1749282,68.90,995,753.0,242.0,53.90,-12.69,2 992.56,-704.53,0.43,19.68,4.25,2.30,"
12.48
",100
1815155,3.05,40,40.0,0.0,3.14,0.00,30.48,0.00,1.25,0.00,n/a,0.76,"
0.65
",100
1812873,131.09,18 824,13489.0,5335.0,1 281.03,-1 959.40,617 364.69,-487 340.19,-0.01,2.12,1.27,6.91,"
25.08
",99
1764505,89.87,221,108.0,113.0,4.32,-2.11,82.53,-64.25,0.15,3.17,1.28,0.08,"
25.33
",100
1907018,-6.94,18,14.0,4.0,1.19,-11.15,6.29,-13.23,-0.12,-0.58,0.48,-0.39,"
-10.30
",100
1921457,194.98,245,208.0,37.0,27.64,-20.30,1 781.34,-225.38,0.66,12.98,7.90,6.35,"
3.02
",35
1879734,3.88,12,10.0,2.0,8.86,-7.84,48.34,-9.51,0.73,4.08,5.08,3.24,"
2.86
",100
1894941,43.07,174,136.0,38.0,85.79,-91.26,583.45,-295.47,0.13,3.16,1.97,1.66,"
19.57
",85
1721872,2 760.84,419,411.0,8.0,68.40,-7.79,2 225.72,-32.52,0.71,279.03,68.44,5.23,"
31.58
",0
1896832,0.42,40,33.0,7.0,0.76,-0.05,2.67,-0.16,0.47,50.20,16.69,0.06,"
0.23
",100
1936700,6.71,33,26.0,7.0,87.36,-23.86,566.46,-38.50,0.74,21.51,14.71,16.00,"
6.71
",90
1526569,91.05,1 178,939.0,239.0,8 947.31,-8 149.30,156 439.92,-110 902.36,0.06,5.59,1.41,38.66,"
4.45
",100
1549399,36.90,758,732.0,26.0,18 306.00,-301 451.00,2 338 654.00,-770 055.00,0.12,2.76,3.04,2 069.39,"
1.23
",0
1078866,230.42,4 714,3278.0,1436.0,494.09,-60.30,18 837.44,-8 764.05,0.09,19.26,2.15,2.14,"
2.75
",99
1876890,23.32,1 029,659.0,370.0,3 290.53,-22 150.66,183 112.46,-119 035.92,0.03,1.62,1.54,62.27,"
29.98
",97
1921347,314.27,746,610.0,136.0,72 640.00,-16 143.50,599 725.43,-127 540.08,0.04,14.39,4.70,632.96,"
18.85
",7
1931121,8.56,221,167.0,54.0,9.84,-9.31,220.49,-134.87,0.16,5.00,1.63,0.39,"
8.56
",94
1611616,279.63,4 420,3432.0,988.0,254.81,-242.27,12 190.59,-7 463.27,0.09,18.88,1.63,1.07,"
6.59
",99
1876748,43.38,1 168,895.0,273.0,9 424.23,-3 981.42,182 986.35,-78 456.04,0.18,11.97,2.33,89.50,"
14.98
",96
1814681,4.77,38,37.0,1.0,23.82,-1.00,240.88,-3.43,1.21,237.45,70.23,6.25,"
0.47
",100
1407665,259.89,2 051,1537.0,514.0,336.65,-420.89,33 736.92,-19 428.03,0.12,21.80,1.74,6.98,"
5.10
",98
1745263,13.69,187,166.0,21.0,1.59,-4.07,56.61,-49.80,0.10,0.58,1.14,0.04,"
-3.96
",100
1381093,54.85,23 718,18203.0,5515.0,24 988.11,-9 877.12,531 012.61,-413 888.36,0.01,1.60,1.28,4.94,"
2.55
",99
1838011,188.54,1 838,1308.0,530.0,886.44,-1 029.57,9 444.63,-6 053.32,0.08,2.13,1.56,1.85,"
5.23
",99
1885090,39.04,1 040,801.0,239.0,7 452.68,-3 738.99,178 380.72,-75 617.31,0.19,11.45,2.36,98.81,"
14.92
",96
1937537,1.01,30,27.0,3.0,10.00,-8.51,33.44,-17.68,0.17,1.85,1.89,0.53,"
1.01
",100
1937033,17.41,2 455,991.0,1464.0,53.30,-22.70,1 802.39,-1 383.14,0.05,3.55,1.30,0.17,"
17.41
",93
1930472,18.78,684,434.0,250.0,1 077.16,-520.49,25 085.45,-10 411.02,0.19,27.10,2.41,21.45,"
1.08
",0
1933220,3.78,30,25.0,5.0,2.95,-0.32,39.25,-1.46,1.46,111.15,26.88,1.26,"
3.78
",100
1936002,46.54,1 146,959.0,187.0,8 120.00,-11 740.00,1 193 245.24,-334 087.91,0.39,10.31,3.57,749.70,"
46.54
",0
841032,1 365.66,27 189,18996.0,8193.0,25 433.53,-10 796.24,695 091.71,-376 055.42,0.04,9.26,1.85,11.73,"
4.39
",100
1821845,197.20,20 449,13699.0,6750.0,7 271.01,-1 098.61,840 063.52,-363 531.08,0.11,17.38,2.31,23.30,"
20.66
",99
1213155,508.95,2 957,2034.0,923.0,2 345.88,-756.77,26 721.19,-18 031.54,0.04,6.21,1.48,2.94,"
1.04
",100
1853784,8.00,101,76.0,25.0,9.44,-16.00,160.91,-104.90,0.15,2.01,1.53,0.55,"
0.14
",48
1936677,6.38,36,32.0,4.0,10.06,-3.68,61.51,-5.02,0.73,15.35,12.25,1.57,"
6.38
",100
1938540,9.77,149,119.0,30.0,3.62,-5.30,132.37,-34.67,0.51,12.89,3.82,0.66,"
9.77
",100
1717146,40.24,23 010,15876.0,7134.0,7 321.64,-1 453.88,180 792.79,-121 801.69,0.03,9.46,1.48,2.56,"
4.19
",99
1472966,205.55,5 967,3912.0,2055.0,4 156.30,-6 093.51,23 693.44,-21 223.95,0.03,0.27,1.12,0.41,"
11.12
",98
1441977,17.61,273,272.0,1.0,33.45,-2.98,2 401.46,-41.80,2.15,763.64,57.45,8.64,"
0.11
",0
1931533,4.73,178,140.0,38.0,97.05,-17.23,259.25,-126.25,0.09,1.51,2.05,0.75,"
4.73
",100
1603131,28.46,374,368.0,6.0,695.00,-6 063.75,7 363.86,-6 838.68,-0.06,0.09,1.08,1.40,"
4.14
",0
1450544,235.13,1 869,1363.0,506.0,49.56,-224.67,4 846.52,-3 787.13,0.09,1.55,1.28,0.57,"
26.88
",98
1687550,153.57,1 044,665.0,379.0,857.75,-709.52,6 065.11,-3 835.97,0.05,2.93,1.58,2.14,"
12.83
",99
1024610,191.15,4 374,3637.0,737.0,69.52,-145.13,5 670.70,-4 233.97,0.05,0.90,1.34,0.33,"
1.32
",0
1792976,260.34,408,358.0,50.0,485.43,-162.73,4 807.60,-2 204.19,0.17,6.00,2.18,6.38,"
17.56
",100
931529,194.22,1 487,1155.0,332.0,3 802.15,-3 532.11,68 618.98,-48 608.94,0.07,5.52,1.41,13.46,"
1.32
",100
1793689,157.58,348,224.0,124.0,80.66,-365.64,2 564.51,-2 379.44,0.12,0.24,1.08,0.53,"
-24.79
",96
1914371,4.51,13,11.0,2.0,8.14,-8.52,35.29,-12.78,0.44,2.62,2.76,1.73,"
4.51
",0
1760332,155.86,440,293.0,147.0,1 736.18,-1 556.08,16 345.86,-11 804.89,0.09,1.16,1.38,10.32,"
7.38
",94
1914377,4.40,13,11.0,2.0,7.83,-8.74,34.50,-12.48,0.43,2.52,2.76,1.69,"
4.34
",0
1189801,77.04,3 038,1614.0,1424.0,4 502.63,-7 698.54,136 099.05,-112 163.80,0.06,0.96,1.21,7.88,"
4.24
",3
1574316,209.49,2 729,2320.0,409.0,206.08,-79.52,6 996.24,-3 353.97,0.09,31.89,2.09,1.33,"
5.54
",99
980702,506.71,10 382,7443.0,2939.0,978.06,-583.72,69 336.69,-44 494.28,0.08,2.87,1.56,2.39,"
7.65
",99
1348776,301.43,365,292.0,73.0,248.65,-269.90,5 378.08,-1 716.88,0.36,10.84,3.13,10.03,"
11.51
",20
1927016,4.86,181,144.0,37.0,4.65,-2.31,141.35,-24.68,0.64,26.94,5.73,0.64,"
4.86
",100
1930457,14.47,284,228.0,56.0,11.23,-5.06,86.99,-32.72,0.15,3.64,2.66,0.19,"
14.47
",89
1895411,7.05,667,127.0,540.0,7 995.00,-6 580.00,113 825.90,-51 118.50,0.11,4.21,2.23,94.01,"
2.86
",100
