1911379,132.27,109,97.0,12.0,70.09,-41.85,1 624.88,-216.86,0.70,33.64,7.49,12.92,"
31.96
",0
1928096,4.24,196,160.0,36.0,10.98,-5.21,140.78,-55.93,0.26,9.74,2.52,0.43,"
4.24
",98
1938593,2.33,39,27.0,12.0,208.58,-122.49,977.09,-511.68,0.23,2.51,1.91,11.93,"
2.33
",100
1930330,15.46,28,24.0,4.0,1.68,-2.50,14.88,-3.45,0.54,3.98,4.31,0.41,"
15.46
",0
1902551,7.87,86,77.0,9.0,5 831.00,-27 672.34,84 823.48,-63 318.65,0.21,0.55,1.34,250.06,"
6.19
",56
1934495,-2.34,112,62.0,50.0,5.16,-5.63,70.99,-81.04,-0.05,-0.31,0.88,-0.09,"
-2.34
",0
1923257,10.55,2 500,2493.0,7.0,41.00,-46.32,563.78,-158.27,0.08,8.75,3.56,0.16,"
10.55
",99
1736557,389.29,1 716,1334.0,382.0,148.75,-231.67,5 954.22,-5 144.12,0.09,0.81,1.16,0.47,"
-35.87
",99
828039,56.81,1 623,1513.0,110.0,13 170.00,-26 460.00,489 526.55,-176 643.85,0.16,9.81,2.77,192.78,"
1.49
",0
1938869,8.19,484,394.0,90.0,19.87,-27.63,632.72,-386.94,0.15,6.55,1.64,0.51,"
8.19
",97
1449820,-100.00,720,520.0,200.0,244.02,-178.60,10 260.41,-6 535.80,0.21,5.07,1.57,5.17,"
-100.00
",69
1538827,740.03,3 262,2451.0,811.0,1 538.36,-544.08,27 259.17,-14 245.75,0.10,7.65,1.91,3.99,"
10.77
",99
1875801,-17.95,273,206.0,67.0,923.92,-1 736.61,16 504.41,-12 919.00,0.16,0.35,1.28,13.13,"
-33.60
",0
1881000,3.94,36,35.0,1.0,35.51,-0.04,291.47,-3.61,1.16,654.23,80.74,8.00,"
1.92
",0
1593203,751.46,2 337,1671.0,666.0,844.44,-474.98,10 957.76,-4 670.16,0.16,3.19,2.35,2.69,"
3.55
",90
1449033,1 213.01,177,145.0,32.0,36.87,-70.46,1 536.66,-345.79,0.41,12.60,4.44,6.73,"
19.86
",0
1669747,308.84,647,462.0,185.0,275.77,-1 848.55,4 481.02,-3 176.22,0.07,0.70,1.41,2.02,"
23.07
",94
748852,696.26,2 282,2118.0,164.0,481.70,-352.49,13 527.67,-6 301.82,0.13,15.59,2.15,3.17,"
12.30
",100
1933472,0.66,26,19.0,7.0,9.34,-4.99,27.57,-11.73,0.28,2.85,2.35,0.61,"
0.66
",100
1560045,31.40,173,94.0,79.0,18.96,-26.03,512.74,-478.86,0.06,0.35,1.07,0.20,"
25.16
",65
1941858,26.50,164,124.0,40.0,46.32,-4.45,317.40,-52.43,0.38,8.40,6.05,1.62,"
26.50
",85
1915794,21.27,44,44.0,0.0,78.92,0.00,1 040.20,0.00,1.23,0.00,n/a,23.64,"
18.71
",4
