Signal Id,Trades,ProfitTrades,LossTrades,BestTrades,WorstTrades,GrossProfit,GrossLoss,SharpeRatio,RecoveryFactor,ProfitFactor,ExpectedPayoff,AlgoTrading
1869110,457,434.0,23.0,37.55,-163.95,1 272.14,-537.19,0.17,3.68,2.37,1.61,"
37.55 USD
                    "
1765169,1 695,1310.0,385.0,209.59,-233.51,3 193.55,-1 940.72,0.07,4.16,1.65,0.74,60
1739862,418,308.0,110.0,618.11,-237.72,11 190.03,-6 091.09,0.23,9.59,1.84,12.20,99
1560883,764,595.0,169.0,3.24,-6.77,302.29,-162.46,0.28,14.27,1.86,0.18,75
721761,1 639,1312.0,327.0,130.31,-249.52,16 906.34,-10 911.48,0.15,1.84,1.55,3.66,98
1620214,462,363.0,99.0,121.84,-75.45,2 974.54,-856.87,0.38,19.11,3.47,4.58,100
1697110,952,767.0,185.0,181.60,-272.40,6 978.06,-2 987.65,0.19,9.34,2.34,4.19,64
1339793,1 748,1271.0,477.0,64.24,-151.21,1 546.44,-1 095.02,0.07,2.24,1.41,0.26,99
1818700,336,246.0,90.0,79.79,-47.14,3 513.76,-1 000.91,0.34,16.06,3.51,7.48,0
1738189,3 036,2279.0,757.0,787.48,-162.77,13 692.78,-7 685.56,0.06,8.11,1.78,1.98,100
1577690,3 045,2157.0,888.0,2 775.48,-1 468.54,123 747.02,-57 269.55,0.16,19.50,2.16,21.83,100
1775340,86,67.0,19.0,59.42,-25.85,323.72,-122.58,0.26,4.59,2.64,2.34,0
1428074,1 197,928.0,269.0,59.06,-30.26,1 451.85,-851.85,0.12,6.70,1.70,0.50,91
884935,896,681.0,215.0,18.69,-31.59,900.03,-633.32,0.16,2.13,1.42,0.30,99
1657121,621,435.0,186.0,96.91,-37.10,2 763.29,-1 015.21,0.18,12.67,2.72,2.81,89
980283,2 971,2294.0,677.0,119.76,-115.98,8 857.77,-3 583.67,0.18,33.32,2.47,1.78,99
1773532,1 018,702.0,316.0,293.12,-63.18,2 433.03,-1 760.14,0.07,3.44,1.38,0.66,86
1766402,502,386.0,116.0,116.40,-40.96,2 042.95,-944.93,0.21,11.39,2.16,2.19,0
1862446,273,180.0,93.0,229.01,-61.11,3 357.89,-1 197.47,0.26,18.37,2.80,7.91,93
1735873,595,387.0,208.0,706.98,-185.05,11 722.84,-5 493.47,0.14,8.20,2.13,10.47,9
1747476,2 452,1942.0,510.0,2 768.01,-280.68,14 555.56,-7 544.66,0.04,3.87,1.93,2.86,95
1816578,1 319,933.0,386.0,350.00,-400.50,41 870.42,-19 160.28,0.19,25.96,2.19,17.22,0
1904950,1 028,742.0,286.0,81.67,-75.02,2 648.88,-1 431.37,0.19,15.94,1.85,1.18,98
1232864,603,437.0,166.0,734.63,-124.15,5 636.42,-1 891.89,0.16,4.99,2.98,6.21,99
1503574,1 182,835.0,347.0,18.08,-27.78,1 236.27,-1 058.89,0.06,1.09,1.17,0.15,98
1102360,6 924,5228.0,1696.0,566.42,-138.85,26 041.79,-16 782.79,0.07,13.91,1.55,1.34,100
1774107,901,654.0,247.0,840.71,-25.36,3 882.70,-1 236.85,0.06,17.24,3.14,2.94,99
1802508,130,106.0,24.0,27.01,-195.09,263.35,-316.31,0.03,-0.23,0.83,-0.41,99
1342817,308,219.0,89.0,354.64,-111.84,4 574.36,-1 860.41,0.25,7.02,2.46,8.81,100
1843084,730,586.0,144.0,159.48,-50.58,1 944.74,-892.94,0.20,7.01,2.18,1.44,58
1771386,105,89.0,16.0,18.39,-30.11,304.06,-127.82,0.31,3.23,2.38,1.68,100
1140052,6 015,4246.0,1769.0,195.29,-172.46,23 785.54,-18 877.30,0.09,8.31,1.26,0.82,99
1733261,557,481.0,76.0,146.80,-57.80,1 988.89,-526.82,0.18,15.51,3.78,2.62,0
1904592,1 849,1410.0,439.0,60.00,-60.19,4 124.96,-3 097.02,0.07,3.37,1.33,0.56,24
1889903,213,151.0,62.0,14.02,-5.53,326.84,-86.02,0.46,10.99,3.80,1.13,"
14.02 USD
                    "
1849190,280,231.0,49.0,210.09,-120.03,4 793.25,-1 112.23,0.46,14.87,4.31,13.15,70
1454267,287,228.0,59.0,196.24,-556.60,14 718.79,-9 244.74,0.15,2.62,1.59,19.07,97
1521998,466,222.0,244.0,1 095.12,-691.39,44 223.97,-23 656.26,0.19,7.38,1.87,44.14,99
1851162,709,490.0,219.0,30.78,-10.58,1 010.53,-344.32,0.25,21.84,2.93,0.94,100
1842919,402,290.0,112.0,20.66,-33.77,953.06,-596.58,0.18,3.04,1.60,0.89,80
1858561,224,140.0,84.0,47.45,-68.30,1 179.64,-823.58,0.16,1.62,1.43,1.59,0
1748758,99,82.0,17.0,47.45,-32.38,463.03,-242.57,0.22,1.61,1.91,2.23,100
1821711,1 293,943.0,350.0,21.66,-23.98,2 800.54,-1 164.17,0.25,63.85,2.41,1.27,100
1794386,1 846,1390.0,456.0,853.83,-271.20,18 393.62,-13 150.35,0.08,3.00,1.40,2.84,99
1855005,405,280.0,125.0,82.46,-23.97,779.94,-457.16,0.12,2.57,1.71,0.80,93
1852765,240,183.0,57.0,144.90,-100.75,1 384.93,-747.29,0.18,3.55,1.85,2.66,92
1772361,672,417.0,255.0,98.67,-164.51,5 371.07,-3 227.39,0.14,7.57,1.66,3.19,5
1747480,1 623,1290.0,333.0,1 347.20,-153.99,9 742.93,-4 367.56,0.07,7.06,2.23,3.31,93
1734270,252,196.0,56.0,35.12,-68.20,713.90,-450.62,0.13,3.38,1.58,1.04,98
1176110,461,323.0,138.0,215.00,-126.00,3 559.09,-2 451.32,0.12,3.82,1.45,2.40,86
1438708,440,174.0,266.0,1 156.22,-944.80,40 465.72,-31 016.26,0.10,1.95,1.30,21.48,92
1662008,813,617.0,196.0,89.04,-111.97,8 352.13,-7 315.22,0.10,1.30,1.14,1.28,99
1379486,539,347.0,192.0,96.67,-116.00,12 306.80,-9 521.53,0.14,4.75,1.29,5.17,0
1861786,475,359.0,116.0,1 365.31,-469.88,18 106.61,-9 395.02,0.19,5.35,1.93,18.34,93
1792156,220,126.0,94.0,5.10,-6.32,608.10,-484.42,0.17,1.18,1.26,0.56,100
1673465,335,236.0,99.0,75.78,-118.23,1 996.94,-1 700.39,0.11,0.99,1.17,0.89,47
1463760,5 216,3552.0,1664.0,384.60,-914.66,70 040.09,-64 809.62,0.07,1.36,1.08,1.00,91
1733865,568,396.0,172.0,61.79,-24.15,2 108.42,-850.39,0.29,8.05,2.48,2.21,99
1539593,338,256.0,82.0,10.37,-15.49,567.75,-288.30,0.35,8.64,1.97,0.83,100
1355749,841,650.0,191.0,2.33,-4.75,304.22,-151.18,0.21,5.42,2.01,0.18,100
1352590,9 916,6688.0,3228.0,2 316.67,-1 623.95,108 876.42,-88 782.01,0.04,4.13,1.23,2.03,98
1349944,2 677,1329.0,1348.0,298.48,-187.53,25 170.33,-21 393.91,0.05,4.27,1.18,1.41,99
1669167,991,658.0,333.0,113.97,-52.18,3 143.92,-1 905.56,0.16,6.28,1.65,1.25,100
708479,1 837,1382.0,455.0,233.39,-544.68,33 678.34,-32 211.97,0.05,0.35,1.05,0.80,97
1609804,2 695,1945.0,750.0,243.92,-1 145.65,7 293.37,-8 138.75,-0.00,-0.34,0.90,-0.31,98
1395432,692,501.0,191.0,124.54,-114.37,1 333.25,-924.50,0.09,3.57,1.44,0.59,99
1708317,461,365.0,96.0,4 330.47,-1 312.63,37 565.12,-11 666.64,0.17,13.90,3.22,56.18,93
1727318,2 115,1495.0,620.0,1 862.08,-456.53,70 470.42,-27 795.42,0.17,26.44,2.54,20.18,99
1800927,1 305,993.0,312.0,1 044.38,-296.97,20 485.61,-8 060.44,0.19,13.02,2.54,9.52,100
1734127,1 466,1148.0,318.0,162.46,-343.26,9 876.17,-7 444.16,0.09,3.12,1.33,1.66,99
1543908,2 140,1377.0,763.0,160.67,-68.34,4 664.69,-2 392.79,0.15,5.24,1.95,1.06,100
1732925,1 627,632.0,995.0,60.72,-70.34,3 201.64,-2 703.91,0.06,2.96,1.18,0.31,100
984345,2 762,1847.0,915.0,36.75,-58.04,4 579.46,-3 450.03,0.07,2.37,1.33,0.41,100
1755281,1 230,1071.0,159.0,1 394.72,-386.60,21 441.81,-11 529.10,0.08,6.55,1.86,8.06,100
1548291,1 909,1263.0,646.0,451.50,-443.92,20 066.27,-12 043.26,0.12,18.07,1.67,4.20,96
1851616,276,195.0,81.0,120.95,-30.35,1 284.59,-532.95,0.18,5.01,2.41,2.72,99
1825005,1 337,965.0,372.0,43.53,-61.62,3 164.25,-1 860.17,0.18,3.52,1.70,0.98,97
1511883,475,475.0,0.0,7.26,0.00,2 758.11,0.00,3.26,0.00,n/a,5.81,98
1333106,1 637,1114.0,523.0,516.12,-381.78,13 874.85,-8 059.65,0.10,15.23,1.72,3.55,99
1766188,844,589.0,255.0,40.14,-67.14,3 138.01,-2 563.17,0.08,1.38,1.22,0.68,0
1759278,1 822,1405.0,417.0,1 365.89,-508.46,18 157.12,-12 489.33,0.05,3.79,1.45,3.11,99
1892660,84,40.0,44.0,26.29,-11.62,707.69,-435.96,0.29,3.03,1.62,3.23,0
1852746,775,558.0,217.0,79.12,-19.42,2 593.84,-1 182.59,0.22,9.13,2.19,1.82,68
1673223,9 055,5541.0,3514.0,280.27,-146.20,28 292.46,-14 597.35,0.11,17.72,1.94,1.51,99
1912421,1 415,859.0,556.0,37.64,-30.33,3 096.74,-1 909.77,0.15,8.19,1.62,0.84,0
1905703,105,93.0,12.0,86.70,-109.56,1 249.47,-385.15,0.32,5.19,3.24,8.23,0
1851612,414,299.0,115.0,72.69,-14.68,1 984.44,-647.72,0.33,16.21,3.06,3.23,88
1102318,4 139,2870.0,1269.0,668.28,-100.45,15 646.82,-10 005.50,0.06,9.87,1.56,1.36,100
1788700,551,251.0,300.0,7.24,-4.58,375.81,-283.98,0.11,2.77,1.32,0.17,99
1795925,485,370.0,115.0,65.50,-36.08,1 897.41,-849.45,0.26,15.70,2.23,2.16,100
1865131,449,341.0,108.0,21.44,-12.74,614.51,-290.79,0.22,18.46,2.11,0.72,"
21.44 USD
                    "
1909561,550,537.0,13.0,183.04,-3 168.30,9 721.66,-9 030.55,0.06,0.09,1.08,1.26,0
1769128,1 326,986.0,340.0,174.90,-110.28,7 087.47,-3 967.16,0.11,4.15,1.79,2.35,90
1818068,119,91.0,28.0,47.88,-19.02,818.33,-156.10,0.55,16.16,5.24,5.56,98
1729646,734,569.0,165.0,113.52,-48.88,1 501.64,-573.76,0.19,12.19,2.62,1.26,100
1543349,1 198,938.0,260.0,599.54,-361.42,18 330.30,-8 549.10,0.15,12.10,2.14,8.16,97
1915229,771,549.0,222.0,26.60,-28.08,1 932.95,-920.38,0.17,30.75,2.10,1.31,99
871735,900,608.0,292.0,25.75,-44.06,1 943.79,-1 742.42,0.07,2.01,1.12,0.22,99
1839898,353,234.0,119.0,14.70,-15.46,338.12,-235.16,0.12,3.12,1.44,0.29,92
1870146,187,145.0,42.0,592.94,-952.02,11 680.40,-6 302.31,0.20,5.65,1.85,28.76,"
592.94 USD
                    "
1338807,473,391.0,82.0,11.68,-20.40,652.32,-239.18,0.26,9.32,2.73,0.87,0
1755063,2 198,1487.0,711.0,63.54,-57.25,3 028.94,-1 740.82,0.14,7.68,1.74,0.59,67
1875453,53,40.0,13.0,6.31,-6.53,126.41,-34.43,0.58,6.92,3.67,1.74,"
6.31 USD
                    "
